ISBN-13,Title,Subtitle,Author,Publish Date,URL
9780811237857,It Lasts Forever and Then It's Over,,Anne de Marcken,2024,https://openlibrary.org/books/OL50635729M/It_Lasts_Forever_and_Then_It's_Over
9780593312070,Frozen River,A Novel,Ariel Lawhon,2024,https://openlibrary.org/books/OL53367494M/Frozen_River
9781250236210,A Psalm for the Wild-Built,,Becky Chambers,"Jul 13, 2021",https://openlibrary.org/books/OL30615224M/A_Psalm_for_the_Wild-Built
9781250236234,A Prayer for the Crown-Shy,,Becky Chambers,2022,https://openlibrary.org/books/OL35034781M/A_Prayer_for_the_Crown-Shy
9781250233110,A Good Day for Chardonnay,,Darynda Jones,"Apr 27, 2021",https://openlibrary.org/books/OL28337604M/A_Good_Day_for_Chardonnay9781250244079
9781777632946,The Light in Hades,,Elise Nelson,2024-04-16,http://books.google.com/books?id=K5Sd0AEACAAJ&dq=isbn:9781777632946&hl=&source=gbs_api
9780857681010,Night terror,,John Passarella,2011,https://openlibrary.org/books/OL25332323M/Night_terror
9781665934633,Nighthouse Keeper,,Lora Senf,2023,https://openlibrary.org/books/OL49293891M/Nighthouse_Keeper
9781250400222,Swordheart,,T. Kingfisher,2025-02-25,http://books.google.com/books?id=BRkgEQAAQBAJ&dq=isbn:9781250400222&hl=&source=gbs_api
